"X"	"latitude"	"longitude"	"returned.address"	"zipcode"	"neighborhood"	"borough"
"174"	174	40.72153	-73.95782	"88 N 11th St, Brooklyn, NY 11249, USA"	"11249"	"Bushwick and Williamsburg"	"Brooklyn"
"175"	175	40.71151	-74.01576	"374-398 South End Ave, New York, NY 10006, USA"	"10006"	"Lower Manhattan"	"Manhattan"
"176"	176	40.76341	-73.97722	"58 W 56th St, New York, NY 10019, USA"	"10019"	"Chelsea and Clinton"	"Manhattan"
"177"	177	40.74395	-73.99145	"48 W 25th St, New York, NY 10010, USA"	"10010"	"Gramercy Park and Murray Hill"	"Manhattan"
"178"	178	40.69513	-73.99595	"212 Hicks St, Brooklyn, NY 11201, USA"	"11201"	"Northwest Brooklyn"	"Brooklyn"
"179"	179	40.70463	-74.01362	"1 Bowling Green, New York, NY 10004, USA"	"10004"	"Lower Manhattan"	"Manhattan"
"180"	180	40.72318	-73.9948	"242 Mott St, New York, NY 10012, USA"	"10012"	"Greenwich Village and Soho"	"Manhattan"
"181"	181	40.71757	-74.00555	"66 Leonard St, New York, NY 10013, USA"	"10013"	"Greenwich Village and Soho"	"Manhattan"
"182"	182	40.76227	-73.98788	"One Worldwide Plaza, New York, NY 10019, USA"	"10019"	"Chelsea and Clinton"	"Manhattan"
"183"	183	40.68833	-73.95092	"494 Greene Ave, Brooklyn, NY 11216, USA"	"11216"	"Central Brooklyn"	"Brooklyn"
"184"	184	40.73971	-73.99456	"45-99 W 18th St, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"185"	185	40.71732	-73.9482	"370 Leonard St, Brooklyn, NY 11211, USA"	"11211"	"Greenpoint"	"Brooklyn"
"186"	186	40.70787	-74.00167	"25-49 Peck Slip, New York, NY 10038, USA"	"10038"	"Lower Manhattan"	"Manhattan"
"187"	187	40.74766	-73.98491	"2 E 33rd St, New York, NY 10016, USA"	"10016"	"Gramercy Park and Murray Hill"	"Manhattan"
"188"	188	40.68677	-73.95928	"71 Lexington Ave, Brooklyn, NY 11238, USA"	"11238"	"Central Brooklyn"	"Brooklyn"
"189"	189	40.72179	-73.95042	"309-333 Driggs Ave, Brooklyn, NY 11222, USA"	"11222"	"Greenpoint"	"Brooklyn"
"190"	190	40.77748	-73.98289	"201 W 70th St, New York, NY 10023, USA"	"10023"	"Upper West Side"	"Manhattan"
"191"	191	40.74335	-74.00682	"447 W 16th St, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"192"	192	40.73649	-73.99704	"68 W 13th St, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"193"	193	40.72454	-73.98185	"540-598 E 6th St, New York, NY 10009, USA"	"10009"	"Lower East Side"	"Manhattan"
"194"	194	40.73292	-74.00711	"132-144 Christopher St, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
"195"	195	40.70149	-73.98657	"112 York St, Brooklyn, NY 11201, USA"	"11201"	"Northwest Brooklyn"	"Brooklyn"
"196"	196	40.72037	-73.96165	"90-110 Kent Ave, Brooklyn, NY 11249, USA"	"11249"	"Bushwick and Williamsburg"	"Brooklyn"
"197"	197	40.73332	-73.9951	"1 E 10th St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"198"	198	40.72312	-73.95212	"20-36 Bedford Ave, Brooklyn, NY 11222, USA"	"11222"	"Greenpoint"	"Brooklyn"
"199"	199	40.74345	-74.00004	"300 W 20th St, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"200"	200	40.73564	-73.95866	"243 Franklin St, Brooklyn, NY 11222, USA"	"11222"	"Greenpoint"	"Brooklyn"
"201"	201	40.72606	-73.95621	"238-266 Banker St, Brooklyn, NY 11222, USA"	"11222"	"Greenpoint"	"Brooklyn"
"202"	202	40.68098	-73.95005	"18-30 Macon St, Brooklyn, NY 11216, USA"	"11216"	"Central Brooklyn"	"Brooklyn"
"203"	203	40.70718	-74.00887	"51-65 William St, New York, NY 10005, USA"	"10005"	"Lower Manhattan"	"Manhattan"
"204"	204	40.7546	-73.97188	"170-198 E 48th St, New York, NY 10017, USA"	"10017"	"Gramercy Park and Murray Hill"	"Manhattan"
"205"	205	40.68217	-73.95399	"44 Hancock St, Brooklyn, NY 11216, USA"	"11216"	"Central Brooklyn"	"Brooklyn"
"206"	206	40.69197	-73.9813	"158 Willoughby St, Brooklyn, NY 11201, USA"	"11201"	"Northwest Brooklyn"	"Brooklyn"
"207"	207	40.75187	-73.97771	"127 Pershing Square, New York, NY 10168, USA"	"10168"	"Gramercy Park and Murray Hill"	"Manhattan"
