,month,day_of_month,day_of_week,neighborhood,morning_outgoing,afternoon_outgoing,morning_incoming,afternoon_incoming
366,7,29,4,Gramercy Park and Murray Hill,123,488,159,453
367,7,29,4,Greenwich Village and Soho,68,570,92,488
368,7,29,4,Chelsea and Clinton,203,1215,198,1125
369,7,29,4,Lower Manhattan,47,378,78,299
370,7,29,4,Lower East Side,242,632,97,807
371,7,29,4,Bushwick and Williamsburg,32,70,29,88
372,7,29,4,Greenpoint,28,85,18,110
373,7,29,4,Northwest Brooklyn,56,198,51,195
374,7,29,4,Upper West Side,33,185,16,242
375,7,29,4,Upper East Side,38,182,22,186
376,7,29,4,Northwest Queens,6,39,10,29
377,7,29,4,Central Brooklyn,12,20,7,24
378,7,29,4,Sunset Park,0,1,0,0
379,7,30,5,Bushwick and Williamsburg,32,31,29,32
380,7,30,5,Gramercy Park and Murray Hill,122,72,104,60
381,7,30,5,Upper East Side,66,23,46,43
382,7,30,5,Chelsea and Clinton,255,167,257,209
383,7,30,5,Greenpoint,45,34,38,40
384,7,30,5,Lower East Side,219,130,153,171
385,7,30,5,Greenwich Village and Soho,106,97,119,109
386,7,30,5,Northwest Queens,9,4,9,7
387,7,30,5,Northwest Brooklyn,57,60,50,63
388,7,30,5,Upper West Side,83,35,53,33
389,7,30,5,Lower Manhattan,100,50,88,73
390,7,30,5,Central Brooklyn,16,8,15,13
391,7,31,6,Lower East Side,137,527,106,539
392,7,31,6,Chelsea and Clinton,158,645,143,627
393,7,31,6,Bushwick and Williamsburg,13,87,16,74
394,7,31,6,Gramercy Park and Murray Hill,70,297,62,265
395,7,31,6,Northwest Brooklyn,41,160,29,148
396,7,31,6,Greenpoint,14,88,13,92
397,7,31,6,Greenwich Village and Soho,52,391,85,380
398,7,31,6,Upper West Side,45,160,36,163
399,7,31,6,Upper East Side,48,127,32,142
