,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
199,,3,24,,438,,2016-11-22 02:44:59 PM,40.72779126,,-73.98564945,,St Marks Pl & 1 Ave,,St Marks Pl & 1 Ave,1,In Service,False,27
200,,22,17,,439,,2016-11-22 02:44:22 PM,40.7262807,,-73.98978041,,E 4 St & 2 Ave,,E 4 St & 2 Ave,1,In Service,False,39
201,,24,7,,440,,2016-11-22 02:44:01 PM,40.75255434,,-73.97282625,,E 45 St & 3 Ave,,E 45 St & 3 Ave,1,In Service,False,32
202,,24,9,,441,,2016-11-22 02:44:24 PM,40.756014,,-73.967416,,E 52 St & 2 Ave,,E 52 St & 2 Ave,1,In Service,False,35
203,,45,5,,442,,2016-11-22 02:43:02 PM,40.746647,,-73.993915,,W 27 St & 7 Ave,,W 27 St & 7 Ave,1,In Service,False,51
204,,1,22,,443,,2016-11-22 02:41:59 PM,40.70853074,,-73.96408963,,Bedford Ave & S 9 St,,Bedford Ave & S 9 St,1,In Service,False,23
205,,45,0,,444,,2016-11-22 02:42:54 PM,40.7423543,,-73.98915076,,Broadway & W 24 St,,Broadway & W 24 St,1,In Service,False,52
206,,7,35,,445,,2016-11-22 02:44:35 PM,40.72740794,,-73.98142006,,E 10 St & Avenue A,,E 10 St & Avenue A,1,In Service,False,42
207,,28,11,,446,,2016-11-22 02:44:33 PM,40.74487634,,-73.99529885,,W 24 St & 7 Ave,,W 24 St & 7 Ave,1,In Service,False,39
208,,14,15,,447,,2016-11-22 02:44:13 PM,40.76370739,,-73.9851615,,8 Ave & W 52 St,,8 Ave & W 52 St,1,In Service,False,31
209,,0,30,,448,,2016-11-22 02:42:01 PM,40.75660359,,-73.9979009,,W 37 St & 10 Ave,,W 37 St & 10 Ave,1,In Service,False,31
210,,1,30,,449,,2016-11-22 02:41:55 PM,40.76461837,,-73.98789473,,W 52 St & 9 Ave,,W 52 St & 9 Ave,1,In Service,False,31
211,,9,49,,450,,2016-11-22 02:42:21 PM,40.76227205,,-73.98788205,,W 49 St & 8 Ave,,W 49 St & 8 Ave,1,In Service,False,59
212,,0,0,,453,,2016-10-20 12:50:22 PM,40.74475148,,-73.99915362,,W 22 St & 8 Ave,,W 22 St & 8 Ave,3,Not In Service,False,0
213,,16,19,,454,,2016-11-22 02:42:28 PM,40.75455731,,-73.96592976,,E 51 St & 1 Ave,,E 51 St & 1 Ave,1,In Service,False,35
214,,31,8,,455,,2016-11-22 02:42:36 PM,40.75001986,,-73.96905301,,1 Ave & E 44 St,,1 Ave & E 44 St,1,In Service,False,39
215,,23,12,,456,,2016-11-22 02:41:52 PM,40.7597108,,-73.97402311,,E 53 St & Madison Ave,,E 53 St & Madison Ave,1,In Service,False,35
216,,21,14,,457,,2016-11-22 02:41:37 PM,40.76695317,,-73.98169333,,Broadway & W 58 St,,Broadway & W 58 St,1,In Service,False,39
217,,2,28,,458,,2016-11-22 02:42:25 PM,40.751396,,-74.005226,,11 Ave & W 27 St,,11 Ave & W 27 St,1,In Service,False,31
218,,19,29,,459,,2016-11-22 02:45:03 PM,40.746745,,-74.007756,,W 20 St & 11 Ave,,W 20 St & 11 Ave,1,In Service,False,49
219,,15,8,,460,,2016-11-22 02:44:33 PM,40.71285887,,-73.96590294,,S 4 St & Wythe Ave,,S 4 St & Wythe Ave,1,In Service,False,23
220,,11,26,,461,,2016-11-22 02:44:44 PM,40.73587678,,-73.98205027,,E 20 St & 2 Ave,,E 20 St & 2 Ave,1,In Service,False,39
221,,0,0,,462,,2016-10-20 10:00:30 AM,40.74691959,,-74.00451887,,W 22 St & 10 Ave,,W 22 St & 10 Ave,3,Not In Service,False,0
222,,0,0,,465,,2016-09-22 02:16:25 PM,40.75513557,,-73.98658032,,Broadway & W 41 St,,Broadway & W 41 St,3,Not In Service,False,0
223,,35,0,,466,,2016-11-22 02:43:04 PM,40.74395411,,-73.99144871,,W 25 St & 6 Ave,,W 25 St & 6 Ave,1,In Service,False,35
224,,17,16,,467,,2016-11-22 02:43:23 PM,40.68312489,,-73.97895137,,Dean St & 4 Ave,,Dean St & 4 Ave,1,In Service,False,34
225,,21,38,,468,,2016-11-22 02:44:46 PM,40.7652654,,-73.98192338,,Broadway & W 55 St,,Broadway & W 55 St,1,In Service,False,59
226,,43,14,,469,,2016-11-22 02:42:58 PM,40.76344058,,-73.98268129,,Broadway & W 53 St,,Broadway & W 53 St,1,In Service,False,57
227,,6,31,,470,,2016-11-22 02:43:35 PM,40.74345335,,-74.00004031,,W 20 St & 8 Ave,,W 20 St & 8 Ave,1,In Service,False,37
228,,16,14,,471,,2016-11-22 02:43:44 PM,40.71286844,,-73.95698119,,Grand St & Havemeyer St,,Grand St & Havemeyer St,1,In Service,False,31
229,,35,5,,472,,2016-11-22 02:43:04 PM,40.7457121,,-73.98194829,,E 32 St & Park Ave,,E 32 St & Park Ave,1,In Service,False,41
230,,20,16,,473,,2016-11-22 02:43:35 PM,40.72110063,,-73.9919254,,Rivington St & Chrystie St,,Rivington St & Chrystie St,1,In Service,False,38
231,,30,7,,474,,2016-11-22 02:44:08 PM,40.7451677,,-73.98683077,,5 Ave & E 29 St,,5 Ave & E 29 St,1,In Service,False,39
232,,30,6,,475,,2016-11-22 02:41:16 PM,40.73524276,,-73.98758561,,E 16 St & Irving Pl,,E 16 St & Irving Pl,1,In Service,False,37
233,,28,18,,476,,2016-11-22 02:41:31 PM,40.74394314,,-73.97966069,,E 31 St & 3 Ave,,E 31 St & 3 Ave,1,In Service,False,47
234,,30,28,,477,,2016-11-22 02:44:42 PM,40.75640548,,-73.9900262,,W 41 St & 8 Ave,,W 41 St & 8 Ave,1,In Service,False,59
235,,1,30,,478,,2016-11-22 02:41:32 PM,40.76030096,,-73.99884222,,11 Ave & W 41 St,,11 Ave & W 41 St,1,In Service,False,31
236,,5,23,,479,,2016-11-22 02:42:54 PM,40.76019252,,-73.9912551,,9 Ave & W 45 St,,9 Ave & W 45 St,1,In Service,False,31
237,,8,19,,480,,2016-11-22 02:44:53 PM,40.76669671,,-73.99061728,,W 53 St & 10 Ave,,W 53 St & 10 Ave,1,In Service,False,27
238,,4,21,,481,,2016-11-22 02:44:00 PM,40.71260486,,-73.96264403,,S 3 St & Bedford Ave,,S 3 St & Bedford Ave,1,In Service,False,25
239,,18,17,,482,,2016-11-22 02:42:00 PM,40.73935542,,-73.99931783,,W 15 St & 7 Ave,,W 15 St & 7 Ave,1,In Service,False,39
240,,32,3,,483,,2016-11-22 02:43:05 PM,40.73223272,,-73.98889957,,E 12 St & 3 Ave,,E 12 St & 3 Ave,1,In Service,False,35
241,,31,11,,484,,2016-11-22 02:42:20 PM,40.75500254,,-73.98014437,,W 44 St & 5 Ave,,W 44 St & 5 Ave,1,In Service,False,44
242,,36,2,,485,,2016-11-22 02:43:19 PM,40.75038009,,-73.98338988,,W 37 St & 5 Ave,,W 37 St & 5 Ave,1,In Service,False,39
243,,29,8,,486,,2016-11-22 02:43:12 PM,40.7462009,,-73.98855723,,Broadway & W 29 St,,Broadway & W 29 St,1,In Service,False,39
244,,11,24,,487,,2016-11-22 02:44:17 PM,40.73314259,,-73.97573881,,E 20 St & FDR Drive,,E 20 St & FDR Drive,1,In Service,False,36
245,,17,22,,488,,2016-11-22 02:42:34 PM,40.75645824,,-73.99372222,,W 39 St & 9 Ave,,W 39 St & 9 Ave,1,In Service,False,41
246,,11,48,,490,,2016-11-22 02:41:33 PM,40.751551,,-73.993934,,8 Ave & W 33 St,,8 Ave & W 33 St,1,In Service,False,59
247,,49,0,,491,,2016-11-22 02:44:55 PM,40.74096374,,-73.98602213,,E 24 St & Park Ave S,,E 24 St & Park Ave S,1,In Service,False,53
248,,20,28,,492,,2016-11-22 02:43:06 PM,40.75019995,,-73.99093085,,W 33 St & 7 Ave,,W 33 St & 7 Ave,1,In Service,False,49
249,,27,6,,493,,2016-11-22 02:43:45 PM,40.7568001,,-73.98291153,,W 45 St & 6 Ave,,W 45 St & 6 Ave,1,In Service,False,34
250,,15,17,,494,,2016-11-22 02:42:34 PM,40.74734825,,-73.99723551,,W 26 St & 8 Ave,,W 26 St & 8 Ave,1,In Service,False,35
251,,5,20,,495,,2016-11-22 02:43:03 PM,40.76269882,,-73.99301222,,W 47 St & 10 Ave,,W 47 St & 10 Ave,1,In Service,False,25
252,,40,5,,496,,2016-11-22 02:42:10 PM,40.73726186,,-73.99238967,,E 16 St & 5 Ave,,E 16 St & 5 Ave,1,In Service,False,47
253,,56,2,,497,,2016-11-22 02:44:46 PM,40.73704984,,-73.99009296,,E 17 St & Broadway,,E 17 St & Broadway,1,In Service,False,59
254,,7,20,,498,,2016-11-22 02:44:12 PM,40.74854862,,-73.98808416,,Broadway & W 32 St,,Broadway & W 32 St,1,In Service,False,30
255,,8,27,,499,,2016-11-22 02:42:06 PM,40.76915505,,-73.98191841,,Broadway & W 60 St,,Broadway & W 60 St,1,In Service,False,36
256,,46,4,,500,,2016-11-22 02:42:27 PM,40.76228826,,-73.98336183,,Broadway & W 51 St,,Broadway & W 51 St,1,In Service,False,52
257,,3,40,,501,,2016-11-22 02:41:53 PM,40.744219,,-73.97121214,,FDR Drive & E 35 St,,FDR Drive & E 35 St,1,In Service,False,43
258,,1,29,,502,,2016-11-22 02:44:59 PM,40.714215,,-73.981346,,Henry St & Grand St,,Henry St & Grand St,1,In Service,False,30
259,,27,1,,503,,2016-11-22 02:43:16 PM,40.73827428,,-73.98751968,,E 20 St & Park Ave,,E 20 St & Park Ave,1,In Service,False,29
260,,5,38,,504,,2016-11-22 02:43:07 PM,40.73221853,,-73.98165557,,1 Ave & E 16 St,,1 Ave & E 16 St,1,In Service,False,45
