,month,day_of_month,day_of_week,neighborhood,hour,normalized_imbalance,hour_group
275,7,1,4,Northwest Queens,13,-0.00524934383202,10-16
276,7,1,4,Northwest Queens,14,0.00524934383202,10-16
277,7,1,4,Northwest Queens,15,-0.00524934383202,10-16
278,7,1,4,Northwest Queens,16,-0.00524934383202,10-16
279,7,1,4,Northwest Queens,17,0.0,17
280,7,1,4,Northwest Queens,18,0.00787401574803,18
281,7,1,4,Northwest Queens,19,-0.0157480314961,19
282,7,1,4,Northwest Queens,20,0.0,20
283,7,1,4,Northwest Queens,21,0.00524934383202,21
284,7,1,4,Northwest Queens,22,-0.00262467191601,night
285,7,1,4,Northwest Queens,23,0.0131233595801,night
286,7,1,4,Northwest Queens,2,-0.00262467191601,night
287,7,1,4,Sunset Park,15,0.0,10-16
288,7,1,4,Sunset Park,16,0.0,10-16
289,7,1,4,Sunset Park,8,0.0,8
290,7,1,4,Sunset Park,9,0.0,9
291,7,1,4,Hudson,12,-0.00251889168766,10-16
292,7,2,5,Lower East Side,0,-0.00241896468312,night
293,7,2,5,Lower East Side,1,-0.011611030479,night
294,7,2,5,Lower East Side,2,-0.00145137880987,night
295,7,2,5,Lower East Side,3,0.000967585873246,night
296,7,2,5,Lower East Side,4,0.000483792936623,night
297,7,2,5,Lower East Side,5,0.00290275761974,night
298,7,2,5,Lower East Side,6,0.00967585873246,7
299,7,2,5,Lower East Side,7,0.0169327527818,7
300,7,2,5,Lower East Side,8,0.0246734397678,8
301,7,2,5,Lower East Side,9,0.0222544750847,9
302,7,2,5,Lower East Side,10,0.0319303338171,10-16
303,7,2,5,Lower East Side,11,0.0440251572327,10-16
304,7,2,5,Lower East Side,12,0.0062893081761,10-16
305,7,2,5,Lower East Side,13,0.00290275761974,10-16
306,7,2,5,Lower East Side,14,0.00870827285922,10-16
307,7,2,5,Lower East Side,15,-0.0106434446057,10-16
308,7,2,5,Lower East Side,16,-0.000967585873246,10-16
309,7,2,5,Lower East Side,17,0.00822447992259,17
310,7,2,5,Lower East Side,18,-0.0266086115143,18
311,7,2,5,Lower East Side,19,-0.033381712627,19
312,7,2,5,Lower East Side,20,-0.0440251572327,20
313,7,2,5,Lower East Side,21,-0.0212868892114,21
314,7,2,5,Lower East Side,22,-0.0140299951621,night
315,7,2,5,Lower East Side,23,-0.025641025641,night
316,7,2,5,Chelsea and Clinton,0,-0.0041067761807,night
317,7,2,5,Chelsea and Clinton,1,0.00041067761807,night
318,7,2,5,Chelsea and Clinton,2,-0.00041067761807,night
319,7,2,5,Chelsea and Clinton,3,-0.00164271047228,night
320,7,2,5,Chelsea and Clinton,4,-0.00287474332649,night
321,7,2,5,Chelsea and Clinton,5,0.00123203285421,night
322,7,2,5,Chelsea and Clinton,6,0.00041067761807,7
323,7,2,5,Chelsea and Clinton,7,0.00574948665298,7
324,7,2,5,Chelsea and Clinton,8,0.0123203285421,8
325,7,2,5,Chelsea and Clinton,9,0.00328542094456,9
326,7,2,5,Chelsea and Clinton,10,0.0172484599589,10-16
327,7,2,5,Chelsea and Clinton,11,0.0102669404517,10-16
328,7,2,5,Chelsea and Clinton,12,0.0106776180698,10-16
329,7,2,5,Chelsea and Clinton,13,0.00739219712526,10-16
